,Title,Corpus
103,A FABULOUS Dining Experience!!!,"What can I say other than the food was delectable and the service awesome. Jeremy, our server was absolutely top notch!!! He was very patient with us, it being our first time to the Bistro and to Calgary. He definitely made our evening! He was..."
104,Best dinner out yet - as it was our 50th wedding anniversary,"We arrived a few minutes late for our reservation to find out they couldn’t find it. They had room and seated us immediately and soon found our misplaced reservation. No problem as they were very apologetic. Dinner was over the top delicious, from the appy..."
105,Outstanding food and atmosphere both,No menu tonight. Chef’s specials night. And what a night it was! Steak tartare to start was on the chunkier side and full of great flavours. The agnolotti pasta with veal was delicious. But my friend’s beef with truffle fries was perfection. Great atmosphere. Attentive...
106,Amazing Food and Best Service in Calgary,"We went to Vero this past Saturday evening for our anniversary. This place is nothing less than simply amazing. To start our dinner was amazing, prepared flawlessly and we enjoyed ever bit of it. Now the food is one thing, but now the service. As..."
107,Yummy Bistro inner city,This gem in Kensington area has very yummy food and the staff was amazing! It has an outdoor patio or a nicely decorated interior. Would highly recommend for dinner.
108,"Excellent food, excellent service","The best food we have eaten in Calgary by far. The staff were warm and welcoming. We ate the gnocchi for starter which was the first time I've ever enjoyed gnocchi, and the steak for our main which was off the charts melt in the..."
109,Excellent Food and Service,"I have been to this restaurant multiple times in last few years and have had great food and service. I mostly have been there for dinner and tried the Organic Chicken Supreme infused with medjool dates and the chef keeps sending multiple samplers (Fettuccini, spaghetti,..."
110,Best meal in Canada,"My boyfriend and I visited this restaurant on our last night in Calgary and the final night of our 16 day trip to Canada. It was amazing, we had meatballs to share for starter, I had the gnocchi which was so tasty for main and..."
111,A gem!,"Quaint little place with delicious food, beautiful presentation in a comfortable atmosphere. I have already recommended it to friends."
112,Excellent brunch with quality ingredients!,"We had a birthday brunch for 6. All the dishes were aesthetically pleasing, very delicious, and reasonably priced for the quality and portions. The ingredients were locally sourced and/or organic and you can taste the difference. Excellent and attentive service by Sean. Thank you chef..."
113,Brunch +,Great food great service great ambience. We really enjoyed the original take on Eggs Benny and the lovely waffle dessert.
114,Fabulous food in Calgary,"We wandered in w/o a reservation and were (luckily) seated. The chef is extremely talented - - the servers were attentive and the food DIVINE. We had the best pasta dish we've had in months, plus an interesting amuse bouche, salad and TWO desserts (one..."
115,Nice food and friendly Staff,We went as a family of four to this place for dinner and loved their pasta and tiramisu desert. The chief also gave us a complimentary appetizer which was delicious as well. The presenting is good and the staff is friendly. Will go back again....
116,"Excellent service, but found the one dish confusing","The service was amazing, very friendly and welcoming! My daughter and I had the prix fixe lunch set, both starting with the lemon ricotta crostini, then our mains were Pici and the Signature Seafood Stew. The lemon ricotta crostini was a bit light on the..."
117,Amazing Anniversary Brunch,Attractive and amazing food. Flavours were fantastic. Decently priced for what you got. Had the Maple Pork Benny and wife had Sweet Potato Gnocchi and we shared the sourdough French toast. Ate every bite! Server was also great. Will definitely be back to try more...
118,My Birthday Lunch celebration,"I just love this place, the food is amazing, everything is fresh, organic, super tasty, beautiful presentation, there hasn’t been not even one time that I didn’t like what I ordered. You will love everything in the menu and the specialty of the day. Try..."
119,Vero Bistro is amazing!,Delicious! Beautiful calm ambiance. Definitely recommend this restaurant to all. Thank you for sharing your talent and love of cooking with others!
120,Exceeded high expectations!,"On a recent business trip to Calgary, I searched TripAdvisor for a restaurant recommendation. Vero bistro turned up as the number one restaurant. I called to see if they could see me and they replied they could without a reservation. They served up and excellent..."
121,A real gem!,"This was our last night in Alberta after spending a week in Calgary, Banff, and Jasper, so we wanted a memorable meal. We definitely found it at Vero Bistro Moderne. The food was absolutely delicious, the service outstanding, and the atmosphere casual and comfortable. We..."
122,Lunch,OMG! Just had the lamb burger from Vero Bistro and it was soo delicious! Tastiest lamb burger I have ever tasted. Thank you again!
123,Romantic honeymoon dinner,"I visited this restaurant with my husband while we were on our honeymoon based on other Trip Advisor Reviews I had seen. The inside of the restaurant was intimate and well decorated and the food was absolutely delicious. We were treated so nicely, with complimentary..."
124,Dinner at Vero,Smaller than we anticipated but the food and service was excellent! Very attentive staff with great recommendations when we had questions regarding the menu. So many flavors in their items! Would highly recommend for anyone looking for dinner in downtown Calgary.
125,Dinner at the Bistro,Excellent food and original recipes.The outdoor patio was very pleasant and the service excellent too.
126,Wow,"This is a pretty small restaurant so I highly recommend reservations. Very quaint and romantic restaurant. My family and I came here on my daughters research and we are glad we did. Great menu, great service, thank you Michael. Everything was excellent from the starters..."
127,Unbelievable Experience,"Went on my honeymoon with my wife and was treated with good service, great food, at a modest price. A must-do for anyone traveling through Calgary"
128,Excellent staff and really tasty food!,My wife and I have been to Vero twice now. Both times the staff has been amazing (we actually had the same waitress.) The food is spectacular!
129,"Outstanding, As Always","We were at the restaurant on a Tuesday, which meant we had the fixed menu (although you do get three choices of entree to augment the chosen for you appetizer and dessert). The service was excellent and the food simply outstanding."
130,Modern Italian,If you are looking for a fantastic Italian feast this is the place to go. It is very modern and the food is very savory and well prepared. Compliments to the chef.
131,Last minute dinner in Calgary,"We finished visiting the Lilac Festival downtown Calgary...at the end of our Alberta vacation and checked TA to see what was nearby, good and local. Vera Bistro Moderne was truly an excellent experience. We stopped by without a reservation and saw that the small, cozy..."
132,Exquisite wine dinner by Chef Jenny,Sunday evenings Vero has free corkage so you can bring your own wine at no cost for the first bottle. I had called a week ahead to see if Chef Jenny could create a dinner for our group that would pair well with our wine....
133,Cannot beat the standard Vero standard,"I’m a regular of Vero and I do like eating out a lot, when I eat out at other restaurants I really wonder why they can’t match the Vero standard. From the warm professional service to obviously the tasty creations of Chef Jenny. The Vero..."
134,Best Resturant in Calgary,Vero is one of Calgary’s best restaurant! The food is mouth watering. The service is outstanding and the atmosphere is fantastic
135,Wow. Loved it.,It’s a smaller restaurant. 45 ppl max. The food was stellar. Service on point and the overall experience was what will bring us back.
136,"Incredible food and service, ill definately be a frequent visitor.",Awsome array of flavours and textures. the staff were friendly and the owners came out to see how the food was tasting.
137,Terrible dinner at Vero Bistro,"I don’t know how this restaurant gets good reviews. I’ve wanted to try it for a long time and got the opportunity tonight. What a major disappointment. The service was terrible. I was with my teen children and didn’t want to order wine, so all..."
138,One of Calgary’s best brunch spots.,"My first time and it was awesome. The food, the service and the music. It was a fantastic experience. Try it out."
139,Excellent food and service,"It was the first time to Vero Bistro for my hubby and I. Our daughter had been many times before and loves it, so we took her for her birthday. Food and service was excellent! Our waiter was attentive and had great recommendations. We don’t..."
140,Primo!,"Best brunch place on the weekends! They got salmon egg Benedict, bison sausage egg Benedict, smoke meat egg benedict,parmesan truffle fries and other delicious items. But that glazed honey crispy bacon u can order on the side is ridiculously addicting. You just need to go..."
141,Our favorite place,We love the food and the service is excellent. This is our favorite place for all special occasions.
142,Wonderful meal,"Visited last week, went on a Tuesday but Chef Jenny was so nice to make us the seafood platter. So much food and so delicious. Wonderful meal with family."
143,Best Place for Brunch in Calgary,"One of, if not the best, place for brunch in Calgary. I have had a lot of eggs benedict in my day, and I would have to say the Berkshire Pork Milanese benny here was the best I’ve ever had. Everything about that dish complimented..."
144,Absolutely Delicious!,Everything from presentation to atmosphere to knowledgeable and friendly servers! Vero was so delicious! We had the gnocchi and the seafood stew - very hard to choose from the menu as I wanted everything! The cotton candy fois gras was a treat from the chef...
145,Never disappointed,Have been a twice now once for dinner and once for brunch. Both meals were excellent and far exceeded my expectations.
146,Excellent food!,I had heard great things about Vero Bistro before my visit and managed to secure a table for my boyfriend and I for their Steak & Frites Wednesday special - a 7oz 28 day AAA grass fed steak with chimichurri butter on a bed of...
147,Amazing everthing,"Food and atmosphere are amazing. I have been both times and unfortunately, both times my reservation was not actually put in their system, but that's ok. The menu changes and the chef is fantastic! Great vibe and incredible food."
148,Awesome food!,Hit this place for brunch as we were walking by - looked amazing from the people eating outside - and we were not disappointed. The servings were presented masterfully and the dishes super tasty!
149,Outstanding!!,"Chef Jenny always makes you feel special, we keep coming back for more and are always delighted. The food was incredible and the service outstanding. This is one of our favourite Calgary gems."
150,Amazing,All the food was delicious. Would definitely come back here again. I recommend this restaurant to anyone who expects the best.
151,Wonderful Birthday 's Dinner!,"My Birthday was on a Tuesday night. I decided to experience 'L'Inconnu"" (The Unknown), there is no menus on Tuesdays and for only $45 per person. As well, that night we were also celebrating the Chinese New Year. Let me tell you I was not..."
152,Mr,Service was good Food was good A little bit pricey for a bistro Atmosphere mediocre All in all a good little spot
153,Lovely Atmosphere,"My daughter and I had an excellent experience at Vero, from the time we were greeted at the door to paying our bill. The room is small, making the atmosphere is cozy and charming. Our waiter, Denys, was very attentive, stopping by as needed but..."
154,Delicious food and great service!,We've been here for dinner and brunch a few times and have loved it every time. The service is always great and the food is delicious. We will be back!
155,One word: SPECTACULAR!,Chef Jenny really puts her heart into her cooking and it shows because we keep coming back! We had the no menu Tuesday lamb chops and they were just cooked to perfection. Service is always on point and the ambiance is phenomenal for an intimate...
156,Dinner with family,"Love this gem in Kensington! Great service, great food and beautiful wines. Such a beautiful atmosphere!"
157,"Very chic restaurant, with pleasant atmosphere","We decided last minute to have dinner in this restaurant and even if we did not have reservation made prior the manager accommodated us :-). We were pleasantly surprised to find such a cute little restaurant with great food and service, attention to details and..."
158,Great Food and Ambience,"I have eaten here a few times. A bit pricey, but worth it. Great entrees from a restaurant that gets excellent reviews from everyone I know."
159,Love this place!,"I went here on a Friday night with my friends and my son (13 yo). Atmosphere was wonderful, decor was great! I couldn't stop admiring the place throughout the night. When it came to the food, I was so impressed with the color, presentation, and..."
160,wonderful cozy restaurant,Both the atmosphere and the food varieties were amazing as usual. Food is very tasty and light. Simply spectacular.
161,Amazing,Has brunch here and it was delicious!! So many good flavors in my dish. Service was good. Only thing I'd say is to get better coffee lol it was just ok.
162,Great experience!,"Excellent evening! Evening with steak dinner. Food was delicious, friendly atmosphere and staff as well. I will recommend to my friends!"
163,Good Date Restaurant,"Brought my partner here for a birthday date night, and we really enjoyed our meals. I had the steak and frites while they had the scallops and pork, eith theirs being the better choice. Although very good, the steak was more rare than medium, and..."
164,Relaxed.,"Very relaxed atmosphere. Staff was very attentive but not intrusive. Prices were a bit on the high side but I'll forego that in lieu of great food. going as a family group, we have a tendency to order a lot of different appetizers and mains..."
165,Always Excellent,Vero Bistro is always an amazing experience. The food is beyond delicious and the service is always very good.
166,You need to try this restaurant!,"Excellent food! Cozy, classy restaurant in beautiful Kensington district of Calgary. If you like salmon, try it at Vero Bistro. All their dishes look amazingly delicious!"
167,BEST brunch place on weekends!,"Excellent benneys! Smoke salmon benney with side order of bacon! The croissant they use to put your poach egg is nice, flaky and tasty!"
168,Very Good,Such a nice little local restaurant. Food was excellent and so was the service. Would go back for sure.
169,Can't get enough of Vero!,I've visited Vero Bistro about 4 times in the last 6months and I'm so impressed with the consistency in service and food quality. I can't get enough of the seafood stew - thank goodness it's such a large portion I always take some home too....
170,Girls brunch,"Wanted to celebrate a rare occasion of having my daughters together! Excellent food, excellent service, wonderful experience! We’ll definitely be back!"
171,Exceptional!,This place never disappoints! The food is not only beautiful but the flavors are just exceptional! Great and friendly service too!
172,Unique dining with intimate atmosphere,"This was actually my second visit to this restaurant (first was for dinner, this time for brunch) and I have to say I was just as impressed this weekend as I was a couple months back. The menu is very unique and extremely well presented...."
173,Great hidden gem!,"Didn’t know this place existed and it’s been here for 10 years! What a great hidden gem! Cozy decor, small intimate restaurant. Food and service were outstanding!"
174,Excellent,Diane was truly delightful and informative. It was not my first visit but it was my friends.We would definitely come again. Food absolutely wonderful. Thank you for making my birthday complete.
175,Excellent dining experience,"A lovely evening with excellent, well executed food and service. Great atmosphere and wine selection."
176,awesome place to have dinner. Fells like home.,the food was amazing and the chef sent out appetizers free of charge to help us celebrate. Will definitely go back.
177,Belated Valentines dinner,"My wife and went to Vero on a no menu Tuesday for a our valentines dinner about 2 weeks after the actual occasion. Food was amazing and very creative. Restaurant decor is modern , cozy and small. Nice feel and excellent service. Good wine and..."
178,Unfortunate end to a great meal,"We were repeat customers. The food has always been outstanding: perfectly cooked pasta, great steak, meatballs the way mama should have made them, all with mouthwatering sauces and preparations. So, why not 5 out of 5? At the end of a delicious meal, our server..."
179,Tuesday night 3 course dinner - worth every penny,"Mind blowing food. Tender meat, delicious sauce that makes you want to lick your plate. Had lamb and roasted veggies. One of the best lambs I've had."
180,Excelent restaurant!,The food was amazing! people are very friendly and the place is very nice. We are going back for sure. 10 out of 10!
181,Amazing dinner out,I took my daughter (13 year old foodie) out for a celebration dinner. The staff and food were amazing. My daughter thought it was the best meal she’d ever had!
182,Hidden Gem,"We were looking for a pre-theatre restaurant prior to a show at the Jubilee. This popped up in our search and decided to give them a try. So glad we did. The food is amazing. Very well prepared, presented and tasty. Staff is friendly and..."
183,My favourite place in the city!,"Vero Bistro is still by far one of the best restaurants in the city! I’ve been coming here for years and it never fails to disappoint! The place is quaint and cozy, service is always down to earth and friendly and the steak and frites..."
184,Sunday Fondue,"My husband and I have been regulars at Jenny and Mike’s, Vero Bistro for many years. It is our favourite place to go in the city. Jenny’s attention to detail and execution is second to none. She is always looking for new ideas and ways..."
185,Super meal in a trendy spot not far from downtown,We reserved a dinner reservation here after seeing the great reviews on TA. We weren't disappointed. We were taken right in to a nice table near the back. The server was polite and knowledgable about the menu and the wine list. The menu has a...
186,Great birthday dinner,"Somehow my reservation was under someone else’s name... but after sorting that out at the door, thankfully the evening improved drastically and quickly. The restaurant, staff, food, and drinks were all great. A great intimate spot for couples. We started with the meatball appetizer (almost..."
187,Amazing food and service!,"They always makes us feel welcome! Food is fantastic, especially their appetizers. Wish they would allow bring your own wine more often though, however they might be the only few that do allow it in Calgary."
188,"Wine, Fine Dining, and Song","This was my second, and very fortunate, visit to Vero. Without question, this bistro is a must to visit! The food, the service, and the ambiance were beyond compare. Chef Jenny, I want to thank you for an amazing experience. Your food and considerate attention..."
189,Amazing,We went to the Tuesday dinner with no menu just what the chef wanted to prepare. I highly recommend this as everything was outstanding. Four appetizers choice of main course and a wonderful dessert.
190,Always delishes,"Consistent, excellent food, great service. Highly recommend eating here. Pasta menu with 3 different kinds, all delishes."
191,Awesome time always,"Amazing place and great drive, small and focused. Fun busy setting and the food quality is top notch. Thanks to chef Jenny and Michael for such a sweet little spot."
192,Goodness in every bite,"I love Vero Bistro!! Chef Jenny keeps surprising and blowing my mind away with every visit, no matter whether it's lunch, dinner, or brunch. Delicious food, amazing presentation and quality drinks. It's definitely one my favourite restaurants in Calgary. Thanks a lot Jenny, Michael and..."
193,Horrible Service and Food,Vero Bistro Modern cannot make perfect fried eggs!! I sent mine back and the 2nd time around was worse than the first. The manager had no interest in making things right but got defensive. The service also was very poor as they were busy and...
194,Special Brunch with Special Friends,Return Birthday brunch -my girlfriends and I love to celebrate our birthdays with a brunch get together at Vero Bistro. We love the Vero bennies - they are a work of art by Chef Jenny but they are so delis that we every morsel. James...
195,Best place to eat in Canada!,"Everything on the menu is better than the last! The service and ambiance are perfect. James is our favorite server and is knowledgeable and extremely personable. I have had most things on the menu and can't wait to try the rest, I'd eat anything Chef..."
196,Outstanding brunch,"I can't recommend Vero enough. I've eaten here twice, both for brunch, and both times was so happy with my meal choices and with the service. I've had the gnocchi and the french toast, and both were truly exceptional. I'm pretty picky about french toast..."
197,great date night,"As always we had the most wonderful time at Vero. Great food, great service, great atmosphere. We love that the menu changes but the favourites are still there. The portions are ample and well worth the money and the service is and always has been..."
198,Amazing!,Traveled all over the world and this is some of the best Italian food I’ve had. Love the truffle butter agnolotti and the pork Milanese is a must! Diane was fun and gave us amazing menu advice. She recommended the pork Milanese which usually isn’t...
199,Wonderful experience,Friends told us how good it was and we went the next week to try. Great usage of different flavours to create unique dishes. The four of us all had different meals and nobody was disappointed. Very nice feature wine too.
200,Great food and wine,We attended a special wine tasting and dinner at this restaurant. The food was excellent. Service was very good especially since the restaurant was full. We will certainly return to try out heir many specially themed evening meals. This restaurant is excellent value but small...
201,Bro breakfast,"It’s February and I’m still thinking about this breakfast, it was bomb. I had the Sweet Potato Gnocchi and the OJ. Let me just say I would be happy to have this breakfast everyday for the rest of my life, it was killer. Definitely hit..."
202,Best soup ever,Best soup I've ever had. Chef Jenny never disappoints. I recommend Vero to anyone looking for a nice restaurant in Calgary. Come here every time my mom visits. Delicious!
203,"great little spot ,","Nice to have a modest but fulfilling plate de jour style . We like the surprise of that and generally just order that without looking at the menu , with an allegy check of course . we signed up for their email"
204,Great Food,The food and service at Vero Bistro is so fresh and tasty The dining area is quite small but a small sacrafise for amazing food
205,NIce place for dinner,Food was great! I had the steak and it was really worth it. The atmosphere was great! Servers were prompt as well.
206,Tuesday night no menu dinner,I went here with a friend based on a recommendation and it lived up to that recommendation. The food was excellent as was the service. We also got an extra little appetizer as a bonus. I am surprised this restaurant is not as well known...
207,"Maybe a nice place for special occasions, but value...?","I know my husband will kill me to write this review because this is one of his favorite restaurants. I like their food and can appreciate the chef’s effort for trying to serve quality food, but just cannot justify the high price. We had a..."
208,Best Meal We Have Had in Calgary,"I have written a number of reviews on Vero and always enjoyed it. I try not to write unnecessary or unhelpful reviews but after having Christmas Eve Dinner there, I simply could not resist. The dinner is a complete menu, and it was 85 dollars...."
209,A and J,"We go to Vero quite often and are never disappointed. Chef Jenny has remarkable talent and the food,service and ambiance are excellent"
210,Exquisite New Year’s Eve Dinner,"We attended an early seating of their Exquisite New Year’s Eve dinner. Chef Jenny, Michael, Jody and all the staff provided an impeccable service, one of the very best meal we’ve ever experienced. We would love to keep this neighborhood gem to ourselves but everyone..."
211,Dinner with friends,"Awesome place,quiet could actually visit with each other without yelling, food was great as well as the service"
212,Awesome food,We enjoyed the steak and fries and seafood stew. We have been at this restaurant before and those are the go to choices. Never disappointed.
213,Amazing,"Very cozy. Delicious food and great service! I definitely recommended this restaruant. Love the seafood italian mix, so wonderful!"
214,Cute little neighborhood Italian place,Food and service was very good. Pastas were a home run! Parking is difficult so allow plenty of time to find a spot!
215,Birthday Brunch,"Totally worth booking this place for my bday treat. It made my day memorable, Its the food!!! Well plated, smell so good and of course tasted excellent😋. Last year I spent my day with my family in Burj Al Arab and Burj Khalifa in Dubai,..."
216,Great service,"Great place to go for brunch on a Sunday morning. Our server Denys was awesome, he explained the menu and made excellent recommendations. Would highly they add Earl Grey tea to their menu :)"
217,Never disappoints,Still my favorite restaurant in Calgary. Consistently brilliant. Staff very chatty and attentive. It's refreshing to have that standard of food in such an unpretentious setting. Changed up my regular steak and frites for the Lobster bisque and Sweet potato gnocchi. - I savoured every...
218,Amazing steak and frites + impeccable service!,I went here alone based on Tripadvisor reviews and it did not disappoint. The steak was tender and tasty. Their service was amazing making you feel so welcomed and at home. This is a must try for those visiting Calgary!
219,A special place,Hats off to Diane our skilled and attentive server. We had great service and delicious food. The menu is different (better) than most trendy restaurants and that is so welcome after the repetitive choices offered elsewhere. We never have room for dessert as the portions...
220,Amazing food. Equally impressive service,"We’ve enjoyed coming to Vero for several years and we’ve never been disappointed. Whether it’s for business or a night out with friends, the food is consistently delicious and the staff attentive. Once you visit I’m sure you’ll become a regular too. Hats off to..."
221,Standard maintained,"We came here a couple of years ago, liked it and went back in this visit to Calgary. The standard was very high, the food wonderfully prepared and delicious, and the service was friendly. Compared to another similarly priced place on 17th, the food quality..."
222,Best Service and Food in Calgary,Dropped by Vero for a business lunch and I was incredibly impressed. The food was completely amazing and succulent. Service was impeccable and friendly. We were greeted with a smile and happy hello when we entered and the experience only got better and the lunch...
223,Fantastic Brunch!,Denys was amazing and suggested a beautiful menu item for which I thoroughly enjoyed.Vero Bistro will be on my list for repeat engagements.Food was absolutely outstanding!
224,Best restaurant in Calgary,We eat at Vero about once a month. The food is amazing and the service excellent. Highlights are the sweet potato gnocchi and the pasta. The chef's meals on Tuesdays are the best!
